conceito,eixo,etapa projetual,dimensão,explicação,palavras-chave,fonte,Indicador e Rubrica Simplificados (Metodologia SMART)
Elementos indispensáveis em um sistema de indicadores,representatividade,"design da plataforma, coleta de dados","social, técnica, interseccional","Garantia de acesso a informações qualificadas, oficiais e transparentes. Contemplar mais dimensões (produção, renda, saúde), reduzir a escala territorial e incluir categorias de desigualdades (raça, gênero).",acesso à informação; desigualdade; transparência,especialista A,"- Específico: Definir padrões para a criação de sistemas de indicadores que garantam a confiabilidade, atualização e relevância dos dados coletados. 
- Mensurável: Quantidade de sistemas desenvolvidos com elementos definidos e nível de satisfação dos usuários. 
- Orientado a Resultados: Garantir que os sistemas de indicadores atendam às necessidades das políticas de SAN e sejam sustentáveis. 
- Período de Avaliação: Revisões anuais de eficácia dos sistemas implementados. "
Experiências que podem contribuir para o fortalecimento de políticas públicas relacionadas  a SAN,técnica,"articulação institucional, capacitação de gestores",técnica,Intersetorialidade no contexto do monitoramento da vigilância em SAN,"monitoramento do Plano Brasil Sem Fome, TRIA e CAD Único",especialista D,"- Específico: Desenvolver reuniões, treinamento e capacitações permamentes para articulação institucional e capacitação de gestores em políticas de SAN. 
- Mensurável: Número de reuniões, treinamentos e capacitações realizados. 
- Orientado a Resultados: Aprimoramento da intersetorialidade no contexto do monitoramento da vigilância em SAN, e da implementação de políticas públicas de SAN. 
- Período de Avaliação: Monitoramento e avaliações anuais. "
"Ferramentas e metodologias, e  papel dos dados e informações no processo de formulação e monitoramento de políticas públicas de SAN",técnica,"coleta de dados, design da plataforma, articulação institucional",técnica,Centralidade da produção de dados e informações para monitoramento e formulação de políticas públicas de SAN,"CadÚnico, CadSAN, EBIA, TRIA, Plano Brasil Sem Fome, indicadores municipalizados de risco de IA grave",especialista D,"- Específico: Criar um sistema integrado de informações que permita a centralidade da produção de dados e o monitoramento para formulação de políticas públicas de SAN. 
- Mensurável: Centralização de informações de diferentes setores locais, integradas em um único local que permita a produção e o monitoramento de dados, e frequência de relatórios de análise integrada. 
- Orientado a Resultados: Subsidiar o sistema integrado de informações, com foco nas políticas públicas de SAN através de dados integrados. 
- Período de Avaliação: Relatórios trimestrais com revisões anuais. "
Indicadores e visualização de dados,representatividade,design da plataforma,"social, técnica","Investem em mapas temáticos e gráficos para apelo visual, pactuados coletivamente com secretarias. Capacitam servidores com ferramentas como Power BI e produzem materiais de suporte.",visualização de dados; Power BI,especialista C ,"- Específico: Desenvolver indicadores visuais e intuitivos que permitam a análise rápida e eficiente de dados de SAN, com dashboards interativos. 
- Mensurável: Número de indicadores visualizados por meio de ferramentas digitais e feedback de usuários sobre a facilidade de uso. 
- Resultados: Facilitar a tomada de decisões com base em dados claros e acessíveis. 
- Período de Avaliação: Revisões trimestrais das ferramentas de visualização implementadas."
Indicadores operacionais para políticas públicas,representatividade,"coleta de dados, análise de impacto","social, técnica","Indicadores simples e funcionais, com poucas variáveis essenciais, são mais eficazes para a gestão local. O IBGE e o DIEESE oferecem dados relevantes, como o monitoramento de alimentos e variáveis de segurança alimentar.",indicadores operacionais; IBGE; DIEESE,especialista A,"- Específico: Criar indicadores operacionais que ajudem a avaliar e monitorar a eficácia das políticas públicas de SAN, com ênfase em resultados tangíveis. 
- Mensurável: Número de indicadores implementados e relatórios de desempenho gerados. 
- Orientado a Resultados: Fornecer subsídios baseados em evidências para o aprimoramento de políticas públicas. 
- Período de Avaliação: Monitoramento semestral e avaliações anuais de impacto. "
"Integração entre as ações de segurança alimentar e as políticas de saúde, educação e assistência social",técnica,"coleta de dados, design da plataforma, articulação institucional",técnica,"Avanços e desafios que ainda estão presentes no Brasil em termos de integração entre as ações para segurança alimentar e nutricional, e as políticas de saúde, educação e assistência social","lógica de um sistema intersetorial, desenho institucional que permite integração, CAISAN, CONSEA, Conferências e Plano de SAN, Plano Brasil Sem Fome, Alimenta Cidade, Estratégia de Prevenção de Perdas e Desperdício de Alimentos, Estratégia de Prevenção e Cuidado com a Obesidade, Manual Orientador SUAS, SUS, SISAN",especialista D,"- Específico: Integrar ações locais de saúde, educação e assistência social para o monitoramento da SAN nas cidades, permitindo análises integradas e mais precisas. 
- Mensurável: Número de ações locais integradas entre os setores de saúde, educação e assistência social, e frequência de relatórios de análise integrada. 
- Orientado a Resultados: Subsidiar políticas de SAN em dados integrados. 
- Período de Avaliação: Relatórios trimestrais com revisões anuais. "
Interoperabilidade dos sistemas,técnica,design da plataforma,técnica,"Uma interface única que integra diferentes bases de informação. O compartilhamento enfrenta restrições institucionais, dificultando a interoperabilidade.",interoperabilidade; integração de sistemas,especialista A,"- Específico: Implementar soluções técnicas que garantam a interoperabilidade entre diferentes sistemas de dados relacionados à SAN, facilitando a troca de informações. 
- Mensurável: Frequência de integrações bem-sucedidas entre sistemas e tempo de processamento reduzido. 
- Orientado a Resultados: Aumentar a eficiência e a precisão na utilização de dados compartilhados entre plataformas. 
- Período de Avaliação: Relatórios semestrais com revisões anuais de impacto. "
Monitoramento de desempenho,contexto e significado,"coleta de dados, análise de impacto","social, técnica","Envolve identificar indicadores importantes em cada política, olhar para todo o ciclo e minimizar riscos com automatização e participação social.",indicadores de desempenho; participação social,especialista C ,"- Específico: Criar mecanismos que permitam monitorar o desempenho de programas e políticas de SAN de forma regular, utilizando indicadores claros e relevantes. 
- Mensurável: Frequência de relatórios gerados e número de indicadores atualizados por ciclo de avaliação. 
- Orientado a Resultados: Melhorar a transparência e a eficácia das políticas através do monitoramento contínuo. 
- Período de Avaliação: Avaliações semestrais com revisões anuais de impacto. "
Monitoramento e avaliação de políticas públicas em SAN,técnica,"coleta de dados, design da plataforma",técnica,"Ter conjunto de indicadores por estado, por região, por município, que consiga de fato acompanhar e organizar um processo de mobilização para superação da fome de garantia da SAN no país, criação de indicador de risco de insegurança alimentar grave a partir do CadÚnico","avaliação e gestão da informação, IPEA, IBGE, EBIA",especialista D,"- Específico: Criar indicadores operacionais por estado, por região e por município que ajudem a acompanhar e organizar o monitoramento da SAN. 
- Mensurável: Número de indicadores implementados e relatórios de desempenho gerados. 
- Orientado a Resultados: Fornecer subsídios baseados em evidências para o aprimoramento de políticas públicas de SAN. 
- Período de Avaliação: Monitoramento e avaliações anuais. "
Mudanças conceituais ou práticas para atualizar e aprimorar as políticas públicas de SAN no Brasil,contexto e significado,"articulação institucional, capacitação de gestores",contexto e significado,"No Brasil, o conceito de SAN se construir um conceito de segurança alimentar e nutricional muito vinculada a ideia de soberania alimentar e de direito humano à alimentação","política de abastecimento alimentar, eventos e mudanças climáticas extremas, sustentabilidade, alimentos ultraprocessados, desertos alimentares, apartheid alimentares, ambientes alimentares, sistemas alimentares, questão urbana, povos e comunidades tradicionais",especialista D,"- Específico: Desenvolver reuniões, treinamento e capacitações permamentes para articulação institucional e capacitação de gestores em políticas de SAN. 
- Mensurável: Número de reuniões, treinamentos e capacitações realizados. 
- Orientado a Resultados: Aprimoramento da compreensão do conceito de SAN vinculado a ideia de soberania alimentar e de direito humano à alimentação. 
- Período de Avaliação: Monitoramento e avaliações anuais. "
Orientações para construção de matriz de indicadores,técnica,"coleta de dados, design da plataforma",técnica,"Com base nos indicadores existentes é necessário pensar na sua factibilidade: 1. quais são os indicadores que precisa coletar; 2. 
quais estão disponíveis; 3. quais a periodicidade destes indicadores que estão disponíveis; Classificar os indicadores de acordo:
1. usabilidade; 2. importância; 3. qualidade; Pensar na validação: especialistas e pesquisadores, reunião com poucas pessoas e seleção criteriosa dos atores-chave; Ter um roteiro de indicadores

","factibilidade, classificação, validação",especialista B,"- Específico: Criar uma matriz de indicadores para o monitoramento e vigilância em SAN, com foco nas políticas públicas e a intersetorialidade em SAN. 
- Mensurável: Criação de indicadores precisos, disponíveis, periódicos, que tenham usabilidade, importância e qualidade.. 
- Orientado a Resultados: Subsidiar o sistema integrado de informações, com foco nas políticas públicas de SAN através de dados integrados. 
- Período de Avaliação: Relatórios trimestrais com revisões anuais. "
Papel do observatório,representatividade,"coleta de dados, articulação institucional","social, técnica","Os observatórios integram políticas públicas setoriais (PPS), dialogam com profissionais para articulação conjunta, trabalham com atualizações anuais, e padronizam a periodicidade dos dados.",integração; atualizações periódicas,especialista C ,"- Específico: Garantir que o observatório integre políticas públicas e sirva como ponto de convergência para dados atualizados e ações estratégicas. Envolver articulação institucional para manter sua relevância e representatividade.
- Mensurável: Frequência de atualizações periódicas e número de políticas públicas integradas.
- Orientado a Resultados: Promover ações informadas e alinhadas aos objetivos institucionais de segurança alimentar e nutricional.
- Período de Avaliação: Revisões anuais de impacto e integração política.
"
PPS de SAN,representatividade,"coleta de dados, articulação institucional",social,"Incluem iniciativas como doação de alimentos, mercados acessíveis em áreas periféricas e acompanhamento da merenda escolar.",segurança alimentar; políticas públicas,especialista C ,"- Específico: Articular iniciativas como doação de alimentos, políticas públicas e ações comunitárias para combater a insegurança alimentar. Garantir que todas as iniciativas estejam alinhadas às necessidades locais e globais de SAN.
- Mensurável: Número de iniciativas implementadas e beneficiários atendidos por região.
- Orientado a Resultados: Reduzir índices de insegurança alimentar por meio de políticas públicas eficazes.
- Período de Avaliação: Monitoramento trimestral e relatórios anuais de impacto.
"
Processo de engajamento intergovernamental,técnica,"coleta de dados, articulação institucional",técnica,"Estratégicas específicas adotadas para multisetorialidade, processo de monitorar, de entender o que está acontecendo, quais são os públicos, os territórios mais afetados, ajuda a fazer ajuste das políticas e mobilizar as políticas e redesenhar para alcançar diferentes territórios e públicos.","processo de direcionamento, revisão de políticas públicas, diferentes públicos e  territórios",especialista D,"- Específico: Promover engajamento intergovernamental entre os agentes públicos de múltiplos setores para fazer ajuste das políticas de SAN, mobilizar outras políticas e redesenhar para alcançar diferentes territórios e públicos. 
- Mensurável: Número de reuniões e ações multisetoriais realizados. 
- Orientado a Resultados: Aprimoramento da multisetorialidade no contexto do monitoramento da vigilância em SAN, e da implementação de políticas públicas de SAN. 
- Período de Avaliação: Monitoramento e avaliações anuais. "
