Indicador,Indicador (descrição),Temas,Regionalizado por,Responsável,Interessado,Variável,Variável (descrição),Fonte checada,Forma de obtenção
42,04.02.04 Alunos por turma da pré-escola da rede pública municipal,"Educação, ODS São Paulo",   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0023,Matrículas - pré-escola rede municipal e conveniada,SME/DIE,Dados Abertos
42,04.02.04 Alunos por turma da pré-escola da rede pública municipal,"Educação, ODS São Paulo",   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0024,Turmas de pré-escola da rede municipal e conveniada,SME,Dados Abertos
43,Alunos por turma do ensino médio da rede pública municipal,Educação ,    1 Municipio(s),SME,SME,V0026,Turmas de ensino médio da rede municipal,SME,Dados Abertos
43,Alunos por turma do ensino médio da rede pública municipal,Educação ,    1 Municipio(s),SME,SME,V0025,Matrículas - ensino médio rede municipal,SME/DIE,Dados Abertos
44,Nota do IDEB dos anos iniciais (Ciclo I),Educação,    1 Municipio(s),SME,SME,V0027,Nota do IDEB dos anos iniciais (Ciclo I),Inep,Inep
45,03.08.03 Cobertura populacional por equipes de Atenção Básica MSP (por 100 habitantes),"ODS São Paulo, Saúde",    1 Municipio(s),SMS,SMS,V0028,Estimativa da população atendida na Atenção Básica,SMS,Envio da Secretaria
45,03.08.03 Cobertura populacional por equipes de Atenção Básica MSP (por 100 habitantes),"ODS São Paulo, Saúde",    1 Municipio(s),SMS,SMS,V0001,População total,Seade,SEADE
46,04.01.01 Taxa de Universalização do Ensino Fundamental (%),"Educação, ODS São Paulo, ",   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0029,Matrículas - fundamental todas as redes,Inep,Inep
46,04.01.01 Taxa de Universalização do Ensino Fundamental (%),"Educação, ODS São Paulo, ",   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0030,População - 6 a 14 anos,Seade,SEADE
47,04.02.02 Taxa de Universalização da Educação Infantil (somente pré-escola) (%),"Educação, ODS São Paulo, ",   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0031,Matrículas - pré-escola todas as redes,Inep,Inep
47,04.02.02 Taxa de Universalização da Educação Infantil (somente pré-escola) (%),"Educação, ODS São Paulo, ",   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0032,População - 4 e 5 anos,Seade,SEADE
48,Alunos da rede municipal de ensino da raça/cor amarela (%),Educação ,   93 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0033,Alunos da rede municipal de ensino - raça/cor amarela,SME,Dados Abertos
48,Alunos da rede municipal de ensino da raça/cor amarela (%),Educação ,   93 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0009,Alunos da rede municipal de ensino,SME,Dados Abertos
49,Alunos da rede municipal de ensino da raça/cor branca (%),Educação ,   93 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0034,Alunos da rede municipal de ensino da raça/cor branca,SME,Dados Abertos
49,Alunos da rede municipal de ensino da raça/cor branca (%),Educação ,   93 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0009,Alunos da rede municipal de ensino,SME,Dados Abertos
50,Alunos da rede municipal de ensino da raça/cor indígena (%),Educação ,   93 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0035,Alunos da rede municipal de ensino da raça/cor indígena,SME,Dados Abertos
50,Alunos da rede municipal de ensino da raça/cor indígena (%),Educação ,   93 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0009,Alunos da rede municipal de ensino,SME,Dados Abertos
51,"Matriciamento das equipes da Atenção Básica para atenção às pessoas com sofrimento ou transtorno mental e com necessidades de saúde decorrente do uso de álcool, crack e outras drogas",Saúde ,    1 Municipio(s),SMS,SMS,V0037,Número de ações de apoio matricial realizadas por Centros de Atenção Psicossocial (CAPS),0,0
51,"Matriciamento das equipes da Atenção Básica para atenção às pessoas com sofrimento ou transtorno mental e com necessidades de saúde decorrente do uso de álcool, crack e outras drogas",Saúde ,    1 Municipio(s),SMS,SMS,V0344,Unidades Básicas de Saúde,0,0
52,Alunos da rede municipal de ensino da raça/cor parda (%),Educação ,   93 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0036,Alunos da rede municipal de ensino da raça/cor parda,SME,Dados Abertos
52,Alunos da rede municipal de ensino da raça/cor parda (%),Educação ,   93 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0009,Alunos da rede municipal de ensino,SME,Dados Abertos
53,Cobertura populacional estimada pela Saúde Bucal na Atenção Básica (%),Saúde ,    1 Municipio(s),SMS,SMS,V0039,Estimativa da população atendida em Saúde Bucal na Atenção Básica,CNES,Envio da secretaria
53,Cobertura populacional estimada pela Saúde Bucal na Atenção Básica (%),Saúde ,    1 Municipio(s),SMS,SMS,V0001,População total,Seade,SEADE
55,Alunos da rede municipal de ensino da raça/cor preta (%),Educação ,   93 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0042,Alunos da rede municipal de ensino da raça/cor preta,SME,Dados Abertos
55,Alunos da rede municipal de ensino da raça/cor preta (%),Educação ,   93 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0009,Alunos da rede municipal de ensino,SME,Dados Abertos
56,"03.03.07 Índice de Infestação Predial pelo Aedes aegypti, obtido na Avaliação de Densidade Larvária (ADL) realizada no mês de outubro (%)","ODS São Paulo, Saúde",    1 Municipio(s),SMS,SMS,V0043,Índice Predial de infestação por Aedes Aegypti,SMS,Envio da Secretaria
56,"03.03.07 Índice de Infestação Predial pelo Aedes aegypti, obtido na Avaliação de Densidade Larvária (ADL) realizada no mês de outubro (%)","ODS São Paulo, Saúde",    1 Municipio(s),SMS,SMS,V0845,Número total de imóveis inspecionados na Atividade de Avaliação de Densidade Larvária (ADL),SMS,Envio da Secretaria
57,"03.04.01 Taxa de mortalidade prematura (de 30 a 69 anos) pelo conjunto de quatro doenças crônicas não transmissíveis (DCNT): doenças do aparelho circulatório, câncer, diabetes e doenças respiratórias crônicas (por 100 mil habitantes da mesma faixa etária)","ODS São Paulo, Saúde",    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0045,Número total de óbitos por DCNT selecionadas na população de 30 a 69 anos de idade,SIM,Envio da secretaria
57,"03.04.01 Taxa de mortalidade prematura (de 30 a 69 anos) pelo conjunto de quatro doenças crônicas não transmissíveis (DCNT): doenças do aparelho circulatório, câncer, diabetes e doenças respiratórias crônicas (por 100 mil habitantes da mesma faixa etária)","ODS São Paulo, Saúde",    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0046,População de 30 a 69 anos de idade,Seade,SEADE
58,Alunos do Ensino Fundamental que utilizam Transporte Escolar Gratuito (%),Educação ,   85 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0044,Alunos do Ensino Fundamental que utilizam Transporte Escolar Gratuito,SME,Dados Abertos
58,Alunos do Ensino Fundamental que utilizam Transporte Escolar Gratuito (%),Educação ,   85 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0015,Matrículas - ensino fundamental rede municipal,SME/DIE,Dados Abertos
59,Número de casos novos de aids em menores de 5 anos de idade,Saúde ,    1 Municipio(s),SMS,SMS,V0047,Número de casos de Aids em menores de 5 anos,SMS,DATASUS
60,04.02.01 Demanda Atendida de Vagas em Creches da Rede Municipal de Ensino (%),"Educação, ODS São Paulo",   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0048,Total da Demanda (atendida e não atendida) de Creche da rede municipal de ensino,SME/DIE,Dados Abertos
60,04.02.01 Demanda Atendida de Vagas em Creches da Rede Municipal de Ensino (%),"Educação, ODS São Paulo",   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0050,Matrículas nas creches da rede municipal de ensino,SME,Dados Abertos
61,"Número de órteses, próteses e meios auxiliares de locomoção (OPM) fornecidos nos serviços de reabilitação",Acessibilidade e Pessoa com DeficiênciaSaúde,    1 Municipio(s),SMS,SMS,V0049,"Número de órteses, próteses e meios auxiliares de locomoção (OPM) fornecidos nos serviços de reabilitação",SMS,Envio da Secretaria
62,Proporção de cura de casos novos de tuberculose pulmonar bacilífera (%),Saúde ,    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0051,Indivíduos com tuberculose pulmonar bacilífera curados,SINAN,Envio da secretaria
62,Proporção de cura de casos novos de tuberculose pulmonar bacilífera (%),Saúde ,    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0052,Indivíduos da coorte com tuberculose pulmonar bacilífera,SINAN,Envio da secretaria
63,Demanda atendida de vagas em pré-escolas da rede municipal de ensino (%),Educação ,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0054,Matrículas na Pré-Escola da rede municipal de ensino,SME,Dados Abertos
63,Demanda atendida de vagas em pré-escolas da rede municipal de ensino (%),Educação ,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0055,Total da Demanda (atendida e não atendida) da Pré-escola da rede municipal de ensino,SME/DIE,Dados Abertos
68,Nota do IDEB dos anos finais (Ciclo II),"Educação, ",    1 Municipio(s),SME,SME,V0059,Nota do IDEB dos anos finais (Ciclo II),Inep,Inep
69,Crianças atendidas na rede pública de creche (%),Educação ,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0060,Matrículas de crianças na Creche da rede pública,Inep,Inep
69,Crianças atendidas na rede pública de creche (%),Educação ,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0005,População - 0 a 3 anos,Seade,SEADE
70,Número de alunos beneficiados com a distribuição de Uniformes e Materiais Escolares na Educação Infantil na rede municipal de ensino,"Educação, ",    1 Municipio(s),SME,SME,V0061,Alunos beneficiados com a distribuição de Uniformes e Materiais Escolares na Educação Infantil na rede municipal,SME,Envio da Secretaria
71,Número de alunos beneficiados pelo Programa de Alimentação Escolar,"Assistência Social, Educação, ",    1 Municipio(s),SME,SME,V0062,Alunos beneficiados pelo Programa de Alimentação Escolar,SME,Envio da Secretaria
72,Professores da rede municipal com ensino superior completo (%),Educação ,   94 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0064,Professores da rede municipal com ensino superior completo,SME,Dados Abertos
72,Professores da rede municipal com ensino superior completo (%),Educação ,   94 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0065,Total de professores da rede municipal,SME,Dados Abertos
73,Número de matrículas em tempo integral nas escolas públicas municipais de Educação Infantil,Educação ,   96 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0063,Matrículas - tempo integral educação infantil municipal,SME,Dados Abertos
75,03.07.02 Proporção de gestantes adolescentes (%),"ODS São Paulo, Saúde",    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0066,Número de nascidos vivos de parturientes menores de 20 anos de idade,SINASC,Envio da secretaria
75,03.07.02 Proporção de gestantes adolescentes (%),"ODS São Paulo, Saúde",    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0017,Número de nascidos vivos,SINASC,Envio da secretaria
76,Proporção de internações para cirurgias eletivas dentre o total de cirurgias (%),Saúde ,    1 Municipio(s),SMS,SMS,V0068,Número de internações para realização de procedimentos cirúrgicos de caráter eletivo,SIHSUS,Envio da secretaria
76,Proporção de internações para cirurgias eletivas dentre o total de cirurgias (%),Saúde ,    1 Municipio(s),SMS,SMS,V0069,Número de internações para realização de procedimentos cirúrgicos,SIHSUS,Envio da secretaria
77,Número de alunos beneficiados com a distribuição de Uniformes e Materiais Escolares no ensino fundamental da rede municipal,Educação ,    1 Municipio(s),SME,SME,V0070,Alunos beneficiados com a distribuição de Uniformes e Materiais Escolares no Ensino Fundamental na rede municipal,SME,Envio da Secretaria
79,Proporção de nascidos vivos de parturientes que realizaram sete ou mais consultas de pré-natal (%),Saúde ,    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0071,Número de nascidos vivos de parturientes que realizaram sete ou mais consultas de pré-natal,SINASC,Envio da secretaria
79,Proporção de nascidos vivos de parturientes que realizaram sete ou mais consultas de pré-natal (%),Saúde ,    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0017,Número de nascidos vivos,SINASC,Envio da secretaria
80,Proporção de óbitos por infarto agudo do miocárdio nas internações do Sistema Único de Saúde (%),Saúde ,    1 Municipio(s),SMS,SMS,V0074,Óbitos de pacientes de 20 anos ou mais de idade com diagnóstico principal de infarto agudo do miocárdio,SIHSUS,Envio da secretaria
80,Proporção de óbitos por infarto agudo do miocárdio nas internações do Sistema Único de Saúde (%),Saúde ,    1 Municipio(s),SMS,SMS,V0075,Internações de pacientes de 20 anos ou mais de idade com diagnóstico principal de infarto agudo do miocárdio,SIHSUS,Envio da secretaria
81,Proporção de partos normais (%),Saúde ,    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0076,Número de nascidos vivos de partos normais,SINASC,Envio da secretaria
81,Proporção de partos normais (%),Saúde ,    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0017,Número de nascidos vivos,SINASC,Envio da secretaria
82,Razão de consultas médicas básicas do Sistema Único de Saúde na população com 60 anos ou mais e a população da mesma faixa etária,Saúde ,    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0078,Número de consultas médicas básicas realizadas em UBS para a população com 60 anos ou mais de idade,SIASUS,Envio da secretaria
82,Razão de consultas médicas básicas do Sistema Único de Saúde na população com 60 anos ou mais e a população da mesma faixa etária,Saúde ,    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0079,População com idade igual ou superior a 60 anos de idade,Seade,SEADE
83,04.06.01 Taxa de Analfabetismo (%),"Educação, ODS São Paulo",    1 Municipio(s),CAGI,SME,V0080,Analfabetos (mais de 15 anos),IBGE,IBGE - Censo
83,04.06.01 Taxa de Analfabetismo (%),"Educação, ODS São Paulo",    1 Municipio(s),CAGI,SME,V0073,População com 15 anos ou mais,Seade,SEADE
84,Taxa de distorção idade-série no Ensino Fundamental da Rede Municipal de Ensino (%),Educação ,   85 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0015,Matrículas - ensino fundamental rede municipal,SME/DIE,Dados Abertos
84,Taxa de distorção idade-série no Ensino Fundamental da Rede Municipal de Ensino (%),Educação ,   85 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0081,Alunos do Ensino Fundamental da rede municipal de ensino matriculados com idade acima da recomendada para a série (idade recomendada +2),SME,Dados Abertos
85,Razão de consultas médicas especializadas no Sistema Único de Saúde (SUS),Saúde ,    1 Municipio(s),SMS,SMS,V0082,Número de consultas médicas especializadas apresentadas ao Sistema Único de Saúde,SIASUS,Envio da secretaria
85,Razão de consultas médicas especializadas no Sistema Único de Saúde (SUS),Saúde ,    1 Municipio(s),SMS,SMS,V0001,População total,Seade,SEADE
86,Razão de exames citopatológicos do colo do útero - Papanicolau em mulheres de 25 a 64 anos e a população da mesma faixa etária,Saúde ,    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0083,Exames citopatológicos realizados para mulheres de 25 a 64 anos,SISCOLO,Envio da secretaria
86,Razão de exames citopatológicos do colo do útero - Papanicolau em mulheres de 25 a 64 anos e a população da mesma faixa etária,Saúde ,    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0084,Um terço (1/3) da população feminina com idade entre 25 a 64 anos,Seade,SEADE
87,Taxa de distorção idade-série no Ensino Médio da Rede Municipal de Ensino (%),Educação ,   8 Distrito(s)    1 Municipio(s)    7  Subprefeitura(s),SME,SME,V0025,Matrículas - ensino médio rede municipal,SME/DIE,Dados Abertos
87,Taxa de distorção idade-série no Ensino Médio da Rede Municipal de Ensino (%),Educação ,   8 Distrito(s)    1 Municipio(s)    7  Subprefeitura(s),SME,SME,V0085,Alunos do Ensino Médio da rede municipal de ensino matriculados com idade acima da recomendada (idade recomendada+2) para a série,SME,Dados Abertos
88,Razão de internações clínico-cirúrgicas de média complexidade do Sistema Único de Saúde e população residente (por 100 habitantes),Saúde ,    1 Municipio(s),SMS,SMS,V0086,Internações clínico-cirúrgicas de média complexidade,SIHSUS,Envio da secretaria
88,Razão de internações clínico-cirúrgicas de média complexidade do Sistema Único de Saúde e população residente (por 100 habitantes),Saúde ,    1 Municipio(s),SMS,SMS,V0001,População total,Seade,SEADE
89,Taxa de abandono escolar no Ensino Fundamental da Rede Municipal de Ensino (%),Educação ,   85 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0088,Total de alunos do Ensino Fundamental da rede municipal que abandonaram a escola,SME,Dados Abertos
89,Taxa de abandono escolar no Ensino Fundamental da Rede Municipal de Ensino (%),Educação ,   85 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0087,"Soma de alunos aprovados, reprovados e que abandonaram a escola no Ensino Fundamental na rede municipal",SME,Dados Abertos
90,Leitos hospitalares (por mil habitantes),Saúde ,    1 Municipio(s),SMS,SMS,V0089,Número de leitos hospitalares,CNES,Envio da secretaria
90,Leitos hospitalares (por mil habitantes),Saúde ,    1 Municipio(s),SMS,SMS,V0001,População total,Seade,SEADE
91,Taxa de abandono escolar no Ensino Médio da Rede Municipal de Ensino (%),Educação ,   7 Distrito(s)    1 Municipio(s)    6  Subprefeitura(s),SME,SME,V0090,Alunos do Ensino Médio da rede municipal que abandonaram a escola,SME,Dados Abertos
91,Taxa de abandono escolar no Ensino Médio da Rede Municipal de Ensino (%),Educação ,   7 Distrito(s)    1 Municipio(s)    6  Subprefeitura(s),SME,SME,V0091,"Soma de alunos aprovados, reprovados e que abandonaram a escola no Ensino Médio na rede municipal",SME,Dados Abertos
92,Resolubilidade da atenção pré-hospitalar móvel do Serviço de Atendimento Móvel de Urgência (%),Saúde ,    1 Municipio(s),SMS,SMS,V0092,Total de atendimentos do Serviço de Atendimento Móvel de Urgência,SMS,Envio da Secretaria
92,Resolubilidade da atenção pré-hospitalar móvel do Serviço de Atendimento Móvel de Urgência (%),Saúde ,    1 Municipio(s),SMS,SMS,V0093,Total de ligações telefônicas recebidas pela Central de Regulação SAMU 192,SMS,Envio da Secretaria
94,Taxa de repetência dos alunos no Ensino Fundamental da Rede Municipal de Ensino (%),Educação ,   85 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0087,"Soma de alunos aprovados, reprovados e que abandonaram a escola no Ensino Fundamental na rede municipal",SME,Dados Abertos
94,Taxa de repetência dos alunos no Ensino Fundamental da Rede Municipal de Ensino (%),Educação ,   85 Distrito(s)    1 Municipio(s)    32  Subprefeitura(s),SME,SME,V0095,Alunos do Ensino Fundamental da rede municipal reprovados,SME,Dados Abertos
95,Taxa de cobertura de coleta de material para exames de triagem neonatal em nascidos vivos na rede SUS (%),Saúde ,    1 Municipio(s),SMS,SMS,V0094,Número de coletas de material para triagem neonatal,SINASC,Envio da secretaria
95,Taxa de cobertura de coleta de material para exames de triagem neonatal em nascidos vivos na rede SUS (%),Saúde ,    1 Municipio(s),SMS,SMS,V0096,Número de nascidos vivos,SINASC,Envio da secretaria
96,Taxa de repetência dos alunos no Ensino Médio da Rede Municipal de Ensino (%),Educação ,   7 Distrito(s)    1 Municipio(s)    1  Subprefeitura(s),SME,SME,V0091,"Soma de alunos aprovados, reprovados e que abandonaram a escola no Ensino Médio na rede municipal",SME,Dados Abertos
96,Taxa de repetência dos alunos no Ensino Médio da Rede Municipal de Ensino (%),Educação ,   7 Distrito(s)    1 Municipio(s)    1  Subprefeitura(s),SME,SME,V0097,Alunos do Ensino Médio da rede municipal de ensino reprovados,SME,Dados Abertos
97,Proporção de internações por condições sensíveis à atenção primária do Sistema Único de Saúde (%),Saúde ,    1 Municipio(s),SMS,SMS,V0098,Número de internações por condições sensíveis à atenção primária (ICSAP),SIHSUS,0
97,Proporção de internações por condições sensíveis à atenção primária do Sistema Único de Saúde (%),Saúde ,    1 Municipio(s),SMS,SMS,V0834,"Número de internações hospitalares, excluídas as internações com diagnósticos relacionados ao parto (CID-10: O80-O84)",0,Envio pela secretaria
97,Proporção de internações por condições sensíveis à atenção primária do Sistema Único de Saúde (%),Saúde ,    1 Municipio(s),SMS,SMS,V0001,População total,Seade,SEADE
98,Tempo entre data do agendamento do procedimento e data da vaga do procedimento para Mamografia,Saúde ,    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0099,Tempo entre data do agendamento do procedimento e data da vaga do procedimento para Mamografia,SMS,Envio da Secretaria
99,Tempo entre data do agendamento do procedimento e data da vaga do procedimento para Tomografia,Saúde ,    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0100,Tempo entre data do agendamento do procedimento e data da vaga do procedimento para Tomografia,SMS,Envio da Secretaria
103,Ciclovias implantadas (km),"Esporte e Lazer, Mobilidade e Segurança no Trânsito, ",    1 Municipio(s),SMT,SMT,V0104,Ciclovias implantadas,SMT,Envio da Secretaria
106,Corredores exclusivos de ônibus (km),Mobilidade e Segurança no Trânsito ,    1 Municipio(s),SMT/SETRAM,SMT/SETRAM,V0107,Corredores exclusivos de ônibus,SMT,Geosampa
108,Frota de ônibus com acessibilidade para pessoas com mobilidade reduzida (%),"Acessibilidade e Pessoa com Deficiência, Mobilidade e Segurança no Trânsito, ",    1 Municipio(s),SMT/SETRAM,SMT/SETRAM,V0109,Frota de Ônibus Cadastrada,SPtrans,Site Secretaria
108,Frota de ônibus com acessibilidade para pessoas com mobilidade reduzida (%),"Acessibilidade e Pessoa com Deficiência, Mobilidade e Segurança no Trânsito, ",    1 Municipio(s),SMT/SETRAM,SMT/SETRAM,V0110,Frota de ônibus acessíveis,SMT,Envio da Secretaria
109,Tempo entre data do agendamento do procedimento e data da vaga do procedimento para Ressonância Magnética,Saúde ,    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0111,Tempo entre data do agendamento do procedimento e data da vaga do procedimento para Ressonância Magnética,SMS,Envio da Secretaria
110,Índice Médio de Cumprimento de Partidas de Ônibus,Mobilidade e Segurança no Trânsito ,    1 Municipio(s),SMT/SETRAM,SMT/SETRAM,V0112,Índice Médio de Cumprimento de Partidas de Ônibus,SMT,Envio da Secretaria
112,Lentidão máxima média no trânsito - pico da tarde (km),Mobilidade e Segurança no Trânsito ,    1 Municipio(s),SMT,SMT,V0114,Lentidão Máxima Média no Pico da Tarde,SMT,Envio da Secretaria
114,Lentidão máxima média no trânsito - pico da manhã (km),Mobilidade e Segurança no Trânsito ,    1 Municipio(s),SMT,SMT,V0116,Lentidão Máxima Média no Pico da Manhã,CET,Envio da Secretaria
115,Tempo médio de espera para exames prioritários,Saúde ,    1 Municipio(s)    32  Subprefeitura(s),SMS,SMS,V0118,Tempo médio de espera para exames prioritários,SMS,Envio da Secretaria
116,Número de mortes de ciclistas no trânsito,Mobilidade e Segurança no Trânsito ,    1 Municipio(s)    32  Subprefeitura(s),SMT,SMT,V0117,Óbitos de ciclistas no trânsito,CET,Envio da Secretaria
117,#ERROR!,#N/A,#N/A,#N/A,#N/A,V0017,Número de nascidos vivos,SINASC,Envio da secretaria
118,#N/A,#N/A,#N/A,#N/A,#N/A,V0040,Crianças com esquema de vacinação básico completo,SI-PNI,DATASUS
119,#N/A,#N/A,#N/A,#N/A,#N/A,V0040,Crianças com esquema de vacinação básico completo,SI-PNI,DATASUS
